Key,Value
癌症,目前没有简单的治愈方法，需要专业医疗团队制定综合治疗方案
新冠,需要遵循医生建议和官方指南，注意个人防护和公共卫生
减肥,健康减肥需要均衡饮食和适当运动，避免极端节食
疫苗,疫苗接种应遵循医生建议，注射后需观察30分钟
药物,用药应遵医嘱，不可自行调整剂量和用药周期
心理健康,出现持续情绪低落超过两周需寻求专业帮助
自然疗法,许多自然疗法缺乏科学验证，不应替代常规医疗
饮食补充剂,补充剂不受严格监管，效果和安全性可能缺乏充分证据
糖尿病,定期检测糖化血红蛋白，注意足部护理防感染
高血压,每日定时监测血压，控制钠摄入量不超过5克/天
过敏,立即停用致敏物质，严重时使用肾上腺素笔急救
营养,每日膳食应包含12种以上食物，控制添加糖摄入
急救,心肺复苏需保持100-120次/分钟按压频率
体检,40岁以上建议每年进行胃肠镜和低剂量CT筛查
失眠,建立固定作息时间，避免睡前使用电子设备
中风,FAST原则识别：面瘫、手臂无力、言语不清、立即就医
骨质疏松,绝经后女性建议每年检测骨密度
传染病,出现发热伴皮疹需立即隔离并报告疾控部门
母乳喂养,新生儿出生后1小时内开始哺乳，按需喂养
抑郁症,核心症状包括持续情绪低落和兴趣减退
抗生素,严禁自行购买使用，完成规定疗程防耐药
牙科,每年至少进行一次专业洁牙和口腔检查
急救药品,家庭应备妥硝酸甘油、退烧药和抗过敏药物
运动损伤,急性扭伤遵循RICE原则：休息冰敷加压抬高
儿童疫苗,按照国家免疫规划程序完成接种
老年痴呆,早期症状包括记忆力减退和定向障碍
肝炎,定期检测肝功能，避免共用剃须刀等个人物品
哮喘,随身携带支气管扩张剂，记录发作诱因
食品安全,生熟食分开处理，冷藏食物不宜超过3天
职业病,长期伏案工作者每60分钟需起身活动
烧伤,立即用流动冷水冲洗至少15分钟
辐射防护,CT检查前告知医生近期检查史
疼痛管理,不明原因剧痛禁止自行服用止痛药
